Date,"Cuttlefish"
2017-04-06,1615
2017-04-07,1999
2017-04-08,1651
2017-04-09,1782
2017-04-10,1790
2017-04-11,1652
2017-04-12,1571
2017-04-13,1532
2017-04-14,1581
2017-04-15,1411
2017-04-16,1557
2017-04-17,1597
2017-04-18,1575
2017-04-19,1448
2017-04-20,1505
2017-04-21,1580
2017-04-22,1367
2017-04-23,1877
2017-04-24,1688
2017-04-25,1572
2017-04-26,1710
2017-04-27,1667
2017-04-28,1480
2017-04-29,1287
2017-04-30,1490
2017-05-01,1679
2017-05-02,1644
2017-05-03,1746
2017-05-04,1776
2017-05-05,1753
2017-05-06,1646
2017-05-07,1604
2017-05-08,1806
2017-05-09,1839
2017-05-10,2029
2017-05-11,1745
2017-05-12,1694
2017-05-13,1472
2017-05-14,1805
2017-05-15,1985
2017-05-16,1798
2017-05-17,1700
2017-05-18,1495
2017-05-19,1486
2017-05-20,1523
2017-05-21,1953
2017-05-22,1668
2017-05-23,1516
2017-05-24,1668
2017-05-25,1581
2017-05-26,2000
2017-05-27,1656
2017-05-28,1478
2017-05-29,1505
2017-05-30,1586
2017-05-31,1603
2017-06-01,1446
2017-06-02,1323
2017-06-03,1385
2017-06-04,1515
2017-06-05,1594
2017-06-06,1373
2017-06-07,1417
2017-06-08,1432
2017-06-09,1755
2017-06-10,1346
2017-06-11,1629
2017-06-12,3273
2017-06-13,3860
2017-06-14,2383
2017-06-15,1661
2017-06-16,1543
2017-06-17,1376
2017-06-18,1511
2017-06-19,1653
2017-06-20,1579
2017-06-21,1455
2017-06-22,1533
2017-06-23,1488
2017-06-24,1436
2017-06-25,1512
2017-06-26,1423
2017-06-27,1410
2017-06-28,1669
2017-06-29,1367
2017-06-30,1244
2017-07-01,1500
2017-07-02,1456
2017-07-03,1419
2017-07-04,1407
2017-07-05,1590
2017-07-06,1605
2017-07-07,1404
2017-07-08,1410
2017-07-09,1673
2017-07-10,1596
2017-07-11,1595
2017-07-12,1575
2017-07-13,1524
2017-07-14,1461
2017-07-15,1371
2017-07-16,1630
2017-07-17,1540
2017-07-18,1579
2017-07-19,2083
2017-07-20,2700
2017-07-21,1690
2017-07-22,1483
2017-07-23,2027
2017-07-24,1578
2017-07-25,1529
2017-07-26,1533
2017-07-27,1406
2017-07-28,1389
2017-07-29,1633
2017-07-30,1674
2017-07-31,1487
2017-08-01,1481
2017-08-02,1529
2017-08-03,1709
2017-08-04,1368
2017-08-05,1329
2017-08-06,1443
2017-08-07,1459
2017-08-08,1354
2017-08-09,1454
2017-08-10,1338
2017-08-11,1271
2017-08-12,1380
2017-08-13,1338
2017-08-14,1680
2017-08-15,1315
2017-08-16,1536
2017-08-17,1317
2017-08-18,1180
2017-08-19,1363
2017-08-20,1335
2017-08-21,1305
2017-08-22,1350
2017-08-23,1327
2017-08-24,1478
2017-08-25,1273
2017-08-26,1210
2017-08-27,1222
2017-08-28,1269
2017-08-29,1296
2017-08-30,1925
2017-08-31,1414
2017-09-01,1148
2017-09-02,1175
2017-09-03,1300
2017-09-04,1353
2017-09-05,1332
2017-09-06,1159
2017-09-07,1490
2017-09-08,1387
2017-09-09,1397
2017-09-10,1277
2017-09-11,1181
2017-09-12,1347
2017-09-13,1205
2017-09-14,1244
2017-09-15,1187
2017-09-16,1216
2017-09-17,1399
2017-09-18,1284
2017-09-19,1671
2017-09-20,1516
2017-09-21,1304
2017-09-22,1239
2017-09-23,1185
2017-09-24,2283
2017-09-25,1994
2017-09-26,1719
2017-09-27,1672
2017-09-28,1379
2017-09-29,1194
2017-09-30,1078
2017-10-01,1245
2017-10-02,1370
2017-10-03,1240
2017-10-04,1551
2017-10-05,1291
2017-10-06,1264
2017-10-07,1050
2017-10-08,1282
2017-10-09,1349
2017-10-10,1499
2017-10-11,3226
2017-10-12,2180
2017-10-13,1969
2017-10-14,1459
2017-10-15,1479
2017-10-16,1524
2017-10-17,1311
2017-10-18,1480
2017-10-19,1545
2017-10-20,2301
2017-10-21,1262
2017-10-22,1375
2017-10-23,1604
2017-10-24,1819
2017-10-25,1537
2017-10-26,1429
2017-10-27,1620
2017-10-28,1120
2017-10-29,1255
2017-10-30,1472
2017-10-31,1298
2017-11-01,5816
2017-11-02,1424
2017-11-03,1746
2017-11-04,1675
2017-11-05,1910
2017-11-06,1842
2017-11-07,1711
2017-11-08,1430
2017-11-09,1345
2017-11-10,1447
2017-11-11,1224
2017-11-12,3532
2017-11-13,2902
2017-11-14,2143
2017-11-15,2028
2017-11-16,1598
2017-11-17,1462
2017-11-18,1565
2017-11-19,1782
2017-11-20,1949
2017-11-21,1583
2017-11-22,1381
2017-11-23,1323
2017-11-24,1235
2017-11-25,1239
2017-11-26,3733
